,SVM,KNN,DT,NB,LG,MACC
chromosome_6,0.7302969815,0.696867088608,0.62611976631,0.657641187926,0.730280753002,0.7302969815
chromosome_20,0.7302969815,0.67058909445,0.619933057449,0.66145366764,0.7302969815,0.7302969815
chromosome_15,0.7302969815,0.660331467056,0.624675835768,0.711130720545,0.730312804284,0.730312804284
chromosome_10,0.7302969815,0.671885345667,0.634690847128,0.672974277832,0.7302969815,0.7302969815
chromosome_12,0.7302969815,0.689400357027,0.583941090555,0.692110516066,0.729031158715,0.7302969815
chromosome_19,0.7302969815,0.686885751379,0.632270772476,0.680619928595,0.7302969815,0.7302969815
chromosome_8,0.7302969815,0.694480282376,0.610701882506,0.69472127556,0.7302969815,0.7302969815
chromosome_4,0.7302969815,0.67563412853,0.619450259656,0.716322622525,0.731643135346,0.731643135346
chromosome_16,0.7302969815,0.67199772801,0.623538623823,0.658857919507,0.734143135346,0.734143135346
chromosome_5,0.7302969815,0.671821243103,0.587930055177,0.71007343395,0.7302969815,0.7302969815
chromosome_13,0.7302969815,0.676838283025,0.594341934437,0.712670399221,0.729031158715,0.7302969815
chromosome_Y,0.7302969815,0.683102077248,0.600477523531,0.718823028238,0.7302969815,0.7302969815
chromosome_14,0.7302969815,0.686868305745,0.618264767932,0.681981093801,0.7302969815,0.7302969815
chromosome_21,0.7302969815,0.685649951315,0.604372768582,0.684688412853,0.732861084064,0.732861084064
chromosome_7,0.7302969815,0.690715271016,0.619418614086,0.655122930867,0.730281158715,0.7302969815
chromosome_17,0.7302969815,0.675379746835,0.609291626095,0.665555826031,0.7302969815,0.7302969815
chromosome_X,0.7302969815,0.669112706913,0.625893784486,0.698679406037,0.7302969815,0.7302969815
chromosome_1,0.7302969815,0.685826436222,0.612080087634,0.685910012983,0.722652953586,0.7302969815
chromosome_18,0.7302969815,0.667992129179,0.589021015904,0.681900762739,0.7302969815,0.7302969815
chromosome_3,0.7302969815,0.685699042519,0.634739532619,0.657785621551,0.727732878935,0.7302969815
chromosome_2,0.7302969815,0.673007140539,0.636101914963,0.673183219734,0.72651533593,0.7302969815
chromosome_9,0.7302969815,0.66539556962,0.637304446608,0.678086254463,0.727732878935,0.7302969815
chromosome_22,0.7302969815,0.698391755923,0.591728740669,0.625845504706,0.7302969815,0.7302969815
chromosome_11,0.7302969815,0.689287974684,0.605301850049,0.704752515417,0.730280753002,0.7302969815
